wl,F001,F003,F006,F008,F009,F013,F017,F021,F023,F024,F028,F030,F032,F036,F039,F042,F044,F045,F047,F049,F052,F053,F054,F058,F059,F063,F064,M004,M005,M011,M012,M014,M015,M016,M018,M019,M020,M022,M025,M026,M029,M031,M033,M034,M037,M038,M040,M041,M043,M046,M050,M055,M056,M057,M060,M061,M062
310,9.895996565,13.40360876,24.89933554,11.2824576,15.16462345,13.40360876,17.0403439,14.9792369,22.06577519,16.39323503,10.15248608,17.59168615,14.38070834,7.82249256,5.885844444,8.571881411,8.489989403,6.500160654,11.21341311,14.29890609,5.703617303,23.59796155,11.23859476,10.69717338,7.569378812,11.62971538,6.416363859,22.09934878,14.94501329,12.95349914,15.95427855,12.07169357,14.09801464,22.3741862,14.24407224,15.53546684,23.09295771,20.06947886,10.88244363,7.192932126,11.66912727,13.39701415,17.88432805,12.15595572,11.45776767,8.312893812,15.14955068,15.38658826,7.715696245,14.46652444,13.77682572,14.43061973,7.886470175,9.346452811,7.02490298,12.29984508,12.7916811
311,9.959024898,13.49178971,24.870547,11.34657697,15.23438648,13.49178971,17.06108813,15.02969693,22.16244074,16.51706871,10.2602606,17.71098616,14.5672923,7.89208724,5.98090824,8.690997586,8.5625263,6.548847026,11.33052248,14.36651275,5.76174306,23.72675222,11.29814772,10.73412797,7.633603437,11.72025262,6.470806018,22.25546282,15.12852311,13.1401175,16.14484864,12.12182519,14.16194363,22.39803889,14.23982489,15.65742097,23.21247136,20.14597389,10.95907405,7.208160483,11.83378754,13.53759487,17.81421698,12.09093631,11.48218169,8.296203162,15.22393176,15.46699065,7.766982349,14.53701019,13.95157809,14.45761634,7.956170014,9.386100967,7.048491618,12.40790827,12.91496388
312,10.01566729,13.57353902,24.8363138,11.40402495,15.29848226,13.57353902,17.07610278,15.07355991,22.24980591,16.63119487,10.36004578,17.82071564,14.7430506,7.956347344,6.069797512,8.802047972,8.629536545,6.593743259,11.44035625,14.42802977,5.814262324,23.84555932,11.35216125,10.76664875,7.692541306,11.8039728,6.52046324,22.40020992,15.30123225,13.31632294,16.32222755,12.1673754,14.22073577,22.41601601,14.23146996,15.76976067,23.32058544,20.21444889,11.02832194,7.220216904,11.9883236,13.66861059,17.74080226,12.0226339,11.50056122,8.276569795,15.29231353,15.54076824,7.813753633,14.60111097,14.11635021,14.47898603,8.020205809,9.42155477,7.06932415,12.50811097,13.02963111
313,10.0658682,13.64883715,24.79662162,11.4548026,15.35681863,13.64883715,17.08533066,15.11076561,22.32778831,16.73552572,10.45173107,17.92074169,14.90785388,8.01520133,6.152427514,8.904931362,8.690957046,6.634785099,11.54278389,14.48336703,5.861118008,23.95425186,11.40056296,10.79470453,7.746140081,11.88081175,6.565241838,22.53345658,15.46301911,13.48201007,16.48625128,12.20831882,14.27434658,22.42806854,14.21896692,15.87239677,23.41715074,20.27485058,11.09011106,7.229074833,12.13257093,13.78991445,17.66404505,11.95103102,11.51286835,8.253966711,15.35460008,15.60780838,7.855924046,14.65872178,14.27102684,14.49465442,8.078516251,9.45276205,7.087354954,12.60036833,13.13556402
314,10.10985855,13.71789958,24.75174177,11.49919621,15.40954635,13.71789958,17.0889624,15.14151485,22.39668834,16.83034795,10.53553277,18.01133024,15.06199423,8.068790775,6.228955269,8.999883506,8.746939945,6.672073582,11.63792951,14.53268447,5.902524365,24.05309527,11.44350692,10.81846842,7.794552574,11.95096013,6.605243022,22.65553513,15.61416875,13.63747572,16.6372877,12.24479785,14.32290395,22.43441114,14.20245841,15.96561547,23.50250883,20.32747845,11.14470288,7.234859721,12.26676622,13.90175426,17.58416477,11.8763522,11.51936837,8.228525793,15.41093963,15.66824516,7.893602793,14.710013,14.41588107,14.50479436,8.131270142,9.479852123,7.102645136,12.68491371,13.23300829
315,10.14790605,13.78094373,24.70193722,11.53746706,15.45689861,13.78094373,17.08723131,15.16605253,22.45686548,16.91601361,10.61176246,18.09286051,15.20587214,8.117318177,6.299611836,9.08722477,8.797688653,6.705767088,11.7260398,14.57622095,5.938736833,24.14246674,11.48120873,10.83813063,7.83797252,12.01465743,6.640655144,22.76688763,15.75506719,13.78310117,16.77584253,12.27696926,14.36657076,22.43528941,14.18211604,16.04977004,23.57712415,20.37266129,11.19241446,7.237714892,12.39129459,14.00450778,17.50140169,11.79882088,11.52034314,8.200394113,15.4615657,15.72231609,7.926978526,14.75524797,14.55128125,14.50964042,8.178684909,9.502997051,7.115297252,12.76204796,13.32231055
316,10.18027841,13.838187,24.64747095,11.56987644,15.49910861,13.838187,17.0803707,15.18462357,22.50867924,16.99287477,10.68073172,18.16571167,15.33988813,8.160986034,6.364628269,9.167275519,8.843406584,6.736023999,11.80736148,14.61421533,5.97001085,24.22274347,11.51388401,10.85388136,7.876593651,12.07214313,6.671666557,22.86795612,15.88610041,13.91926772,16.90242148,12.30498986,14.40550987,22.43094893,14.15811141,16.12521375,23.64146113,20.41072788,11.23356285,7.237783671,12.50654119,14.09855274,17.41599608,11.71866054,11.51607451,8.169718745,15.50671176,15.77025868,7.9562399,14.79469006,14.67759573,14.50942718,8.220977979,9.522368896,7.125413857,12.83207191,13.40381741
317,10.20724333,13.88984679,24.58860594,11.59668566,15.53640954,13.88984679,17.0686139,15.19747287,22.55248914,17.06128349,10.74275215,18.23026293,15.46444272,8.199996843,6.424235626,9.240356117,8.884297148,6.763002695,11.88214125,14.64690648,5.996601855,24.29430263,11.54174836,10.86591082,7.9106097,12.12365672,6.698465613,22.95918266,16.00765442,14.04635668,17.01753026,12.32901641,14.43988416,22.42163529,14.13061614,16.19229989,23.69598422,20.442007,11.26846513,7.23520938,12.61289114,14.1842669,17.32818822,11.63609463,11.50684434,8.136646762,15.54661132,15.81231044,7.981575568,14.82860261,14.79519286,14.50438924,8.25836678,9.53813972,7.13309751,12.89528641,13.47787548
318,10.22906852,13.93614051,24.52560517,11.618156,15.5690346,13.93614051,17.05219421,15.20484533,22.58865466,17.12159181,10.79813531,18.28689347,15.57993642,8.234553104,6.478664963,9.30678693,8.920563758,6.786861555,11.95062583,14.67453325,6.018765285,24.35752141,11.56501738,10.87440923,7.9402144,12.16943769,6.721240665,23.0410093,16.12011523,14.16474934,17.12167459,12.3492057,14.46985649,22.40759409,14.09980182,16.25138172,23.74115786,20.46682743,11.29743834,7.230135344,12.71072959,14.26202801,17.23821839,11.5513466,11.49293449,8.101325237,15.58149788,15.84870888,8.003174184,14.85724898,14.90444099,14.49476118,8.29106874,9.550481584,7.138450765,12.9519923,13.54483138
319,10.2460217,13.97728555,24.45873161,11.63454876,15.59721697,13.97728555,17.03134497,15.20698586,22.61753531,17.1741518,10.8471928,18.33598248,15.68676974,8.264857314,6.528147335,9.366888321,8.952409825,6.807758962,12.01306192,14.6973345,6.036756579,24.41277702,11.58390667,10.87956677,7.965601484,12.20972551,6.740180067,23.11387811,16.22386883,14.27482699,17.21536019,12.36571452,14.49558972,22.38907091,14.06584006,16.30281253,23.77744648,20.48551796,11.32079956,7.222704886,12.80044167,14.33221381,17.14632686,11.46463994,11.47462681,8.063901244,15.61160492,15.87969149,8.021224401,14.88089253,15.00570846,14.48077757,8.319301286,9.559566549,7.141576181,13.00249043,13.60503171
