wl,F001,F003,F006,F008,F009,F013,F017,F021,F023,F024,F028,F030,F032,F036,F039,F042,F044,F045,F047,F049,F052,F053,F054,F058,F059,F063,F064,M004,M005,M010,M011,M012,M014,M015,M016,M018,M019,M020,M022,M025,M026,M029,M031,M033,M034,M037,M038,M040,M041,M043,M046,M048,M050,M055,M056,M057,M060,M061,M062,M007
320,3.25427306,4.6191529,3.657588648,3.021030642,3.659641777,4.6191529,7.7244256,5.332351369,4.974251958,7.586747256,4.641950418,4.276225331,3.980511224,2.581652631,2.864881497,2.990435288,2.526660573,3.168028203,4.01395196,3.71799784,2.890399678,2.684786546,3.799518339,5.157343388,2.800751581,2.694825698,3.988200668,3.775256074,4.530611732,6.168178303,2.833238437,3.721838342,4.658952842,6.442398108,4.861967422,5.200129661,5.52367935,4.763773894,6.969502733,9.269762964,4.641447178,7.174788461,5.27274786,4.428701202,2.940767697,2.739748892,3.953075712,5.111633776,3.585815827,5.596493889,2.661588425,3.380446886,4.583012544,4.176962787,5.970093264,4.405750798,3.630629513,2.734269093,3.047070008,3.093477825
321,3.242831896,4.628203895,3.639308798,2.984549033,3.642901799,4.628203895,7.77585798,5.336580305,5.048922688,7.775022707,4.634874398,4.317969412,3.983774997,2.590429446,2.868266969,2.999343043,2.531631307,3.171511345,4.053034746,3.71844125,2.91828134,2.688704895,3.839415022,5.187452191,2.802591959,2.70105653,4.031637684,3.74646576,4.575849729,6.172519969,2.855307116,3.71079513,4.712016971,6.513986721,4.915529034,5.262582983,5.556560182,4.747373861,7.055772772,9.378546263,4.768991961,7.284977268,5.354801858,4.385771554,2.891434221,2.723775216,3.955895018,5.182101165,3.629990619,5.693396127,2.676239781,3.355181304,4.623778574,4.204124854,6.086146868,4.429368721,3.686757992,2.739904974,3.079280417,3.038190968
322,3.23168823,4.636711111,3.621152116,2.94909205,3.626959802,4.636711111,7.824654861,5.33955819,5.122900659,7.958875098,4.627622519,4.359192292,3.987178484,2.599162451,2.871923826,3.008207404,2.536882628,3.175210443,4.092185347,3.718881212,2.946568427,2.692539386,3.87849834,5.218158629,2.804663915,2.707405394,4.074178751,3.719176187,4.620812527,6.177888501,2.876970812,3.700445655,4.765319704,6.583993751,4.967835385,5.325258322,5.588355824,4.731136257,7.140354888,9.485944288,4.896149891,7.393646718,5.436249235,4.343710754,2.843269574,2.709235523,3.961090169,5.251731155,3.673917342,5.78972984,2.691032727,3.331741536,4.663643136,4.231176813,6.199520631,4.453162603,3.743894063,2.745864443,3.111710765,2.983822089
323,3.220844734,4.644663682,3.603126776,2.914606757,3.61182492,4.644663682,7.870943988,5.341347215,5.19603771,8.138118645,4.620225583,4.399898648,3.990698304,2.607863366,2.875857174,3.017030036,2.542398568,3.179117702,4.131331393,3.719327926,2.975210703,2.696274138,3.916714563,5.249387845,2.806944265,2.713843617,4.11579906,3.693345792,4.665466875,6.18408264,2.898228947,3.690734007,4.818781295,6.652372643,5.018860687,5.388030639,5.619030006,4.71506648,7.223164306,9.591775277,5.022700781,7.500667665,5.516999644,4.302563788,2.796311958,2.69605378,3.968523235,5.320429015,3.717537627,5.885338054,2.705935945,3.310032036,4.702603689,4.25807073,6.310195226,4.477086996,3.801901795,2.752098219,3.144279271,2.930278171
324,3.210304081,4.652050737,3.585240946,2.881040218,3.597506286,4.652050737,7.914853106,5.342009569,5.268185681,8.312567565,4.612714391,4.440093159,3.994311075,2.616543912,2.880072114,3.025812599,2.548163158,3.183225326,4.170400518,3.71979159,3.004157933,2.699893274,3.95400996,5.281064987,2.809409822,2.720342528,4.156473803,3.668933014,4.709779523,6.190901131,2.919080944,3.681604279,4.872321999,6.719076847,5.068579154,5.450774893,5.648546461,4.699169927,7.30411625,9.695857467,5.148424443,7.605910963,5.596962737,4.262375638,2.750599571,2.684153955,3.978056285,5.388100015,3.760793104,5.980063793,2.720918119,3.289957259,4.74065769,4.284758673,6.418151323,4.50109645,3.860645253,2.758557023,3.176904156,2.877466196
325,3.200068942,4.65886141,3.567502799,2.848339495,3.584013033,4.65886141,7.956509961,5.341607445,5.339196409,8.482036077,4.605119744,4.479780501,3.997993413,2.625215809,2.88457375,3.034556757,2.554160432,3.187525518,4.209320354,3.720282403,3.033359883,2.703380913,3.990330801,5.313115198,2.812037403,2.726873454,4.196178174,3.645896288,4.753717219,6.198142718,2.939526224,3.673000562,4.925862071,6.784059809,5.116965,5.513366044,5.676868919,4.683451996,7.383125946,9.798009096,5.273100688,7.709247466,5.676048165,4.223191291,2.706170612,2.673460013,3.989551388,5.454649424,3.803625402,6.073750083,2.735947933,3.27142166,4.777802597,4.311192711,6.523369594,4.525145516,3.919988503,2.765191574,3.20950364,2.825293145
326,3.190105598,4.665406303,3.549480071,2.816940168,3.570895949,4.665406303,7.993875936,5.338940742,5.411625847,8.650057135,4.597121798,4.518871415,4.002070539,2.63385691,2.889298963,3.043409056,2.560736969,3.192227965,4.249365613,3.720853507,3.063722944,2.706843905,4.026644984,5.346811066,2.815125796,2.733775809,4.235673252,3.624751747,4.797834161,6.208794671,2.95940327,3.665459849,4.980817967,6.848373269,5.164692675,5.578134375,5.704823316,4.667769894,7.461992101,9.901871401,5.400415941,7.813214113,5.756374299,4.183758227,2.661827848,2.664966523,4.005167146,5.522094337,3.847263374,6.169671853,2.751854558,3.255530692,4.814336007,4.338283328,6.626738579,4.550048744,3.982331004,2.772851594,3.243545853,2.774519729
327,3.180389859,4.671938229,3.5308297,2.787243509,3.557802405,4.671938229,8.025236095,5.333012806,5.487623834,8.8195757,4.588434321,4.557296492,4.006820634,2.64243662,2.894196133,3.052481631,2.568179045,3.197502088,4.291606708,3.721537118,3.096006852,2.710384639,4.063766159,5.383217667,2.818934572,2.74134226,4.275576756,3.60595188,4.842594506,6.225393701,2.978585711,3.659468652,5.038375797,6.912885749,5.212312704,5.64702279,5.733092512,4.652006894,7.542204425,10.01046755,5.53346739,7.919924363,5.839687436,4.143064469,2.616605945,2.659524825,4.026727378,5.592105042,3.892724771,6.270540763,2.769315842,3.243245121,4.85049341,4.3667876,6.728964857,4.576486917,4.049679555,2.782249961,3.280257401,2.725841338
328,3.170938697,4.678359629,3.511693667,2.759145127,3.544886409,4.678359629,8.051203704,5.32419099,5.566433034,8.989523993,4.579138533,4.595090181,4.012149756,2.650953988,2.899287607,3.061724521,2.576380238,3.203279693,4.335664823,3.722312047,3.129941385,2.713980541,4.101409219,5.421948886,2.823381712,2.749474015,4.31564884,3.589359669,4.887829949,6.247062711,2.997125689,3.654895345,5.098110298,6.97727587,5.25961341,5.719325179,5.761425626,4.636207492,7.623214652,10.12268869,5.671150994,8.028613847,5.925339111,4.101515816,2.570890948,2.656844043,4.053591978,5.664066596,3.939634568,6.375354936,2.788073481,3.234252367,4.886179104,4.39642748,6.829756161,4.604213936,4.121309234,2.793132135,3.319194222,2.679066974
329,3.161769084,4.684572944,3.492213949,2.732540629,3.53230197,4.684572944,8.072392025,5.312842651,5.647296115,9.158834237,4.569315653,4.632286934,4.017963962,2.659408065,2.904595735,3.07108777,2.585234123,3.209492586,4.381161145,3.723157106,3.165256322,2.717609041,4.139289059,5.462618607,2.828385197,2.758072283,4.355649654,3.574838092,4.933372181,6.272924605,3.015075346,3.651608299,5.159596208,7.041222255,5.306383117,5.794335431,5.789571775,4.620416183,7.704474512,10.23742595,5.812362711,8.138518198,6.012680859,4.059518066,2.525068905,2.656633302,4.085120838,5.737364061,3.987617742,6.483112495,2.807869172,3.228239851,4.921297388,4.426924918,6.928820225,4.6329837,4.196495118,2.805243572,3.359912255,2.634005636
330,3.152897991,4.690480616,3.472532525,2.707325625,3.520203097,4.690480616,8.089414323,5.299335143,5.729455744,9.326438652,4.559046899,4.668921201,4.02416931,2.667797899,2.910142866,3.080521419,2.594634277,3.216072575,4.42771686,3.724051105,3.201681442,2.721247567,4.177120571,5.504840714,2.833863011,2.767038273,4.395339351,3.562250128,4.979052897,6.302102287,3.032486826,3.649475886,5.222408262,7.104403526,5.352410146,5.871347437,5.817280077,4.604677464,7.785435738,10.35357048,5.9559985,8.248873047,6.101064216,4.017477017,2.479525863,2.658601726,4.120673852,5.811382495,4.03629927,6.592811564,2.82844461,3.224894991,4.955752561,4.458001867,7.02586478,4.662550112,4.274512282,2.81832973,3.401967436,2.590466326
331,3.14434239,4.695985087,3.452791374,2.683395722,3.508743799,4.695985087,8.102883861,5.284035821,5.812154586,9.491269462,4.548413492,4.705027434,4.030671859,2.676122539,2.915951349,3.08997551,2.604474278,3.222951465,4.474953153,3.724972858,3.238946524,2.724873548,4.214618651,5.548229091,2.839733133,2.776273192,4.434478082,3.551458758,5.024703789,6.333718659,3.049412269,3.648366479,5.286121198,7.166498306,5.39748282,5.949655087,5.844299649,4.58903583,7.865550061,10.47001341,6.100954317,8.358914028,6.189840719,3.975798468,2.434647869,2.662458439,4.159610913,5.885506958,4.085304126,6.703450266,2.849541491,3.223905209,4.989448923,4.489380279,7.120597561,4.69266707,4.354635806,2.832136066,3.444915704,2.548258045
332,3.136119251,4.7009888,3.433132476,2.660646528,3.498078085,4.7009888,8.113413905,5.267312041,5.894635309,9.652258888,4.537496649,4.740640083,4.037377666,2.684381035,2.922043533,3.099400085,2.6146477,3.230061062,4.522491209,3.725901173,3.276781348,2.728464412,4.251498191,5.592397622,2.845913547,2.78567825,4.472825999,3.542326962,5.07015655,6.366896624,3.065903819,3.648148449,5.350309753,7.227185216,5.441389463,6.028552271,5.87037961,4.573535778,7.944269213,10.58564588,6.246126122,8.467876772,6.278361903,3.934888217,2.39082097,2.667912565,4.201291914,5.959122509,4.134257288,6.814026724,2.870901513,3.224957923,5.022290772,4.520782107,7.2127263,4.723088476,4.436140764,2.846408037,3.488312995,2.507189795
333,3.128245546,4.705394195,3.413697808,2.638973651,3.488359963,4.705394195,8.121617718,5.249531156,5.976140578,9.808339152,4.52637759,4.775793599,4.044192789,2.692572435,2.928441766,3.108745184,2.625048121,3.237333175,4.569952215,3.726814864,3.314915692,2.731997588,4.287474086,5.636960191,2.852322235,2.795154655,4.510143254,3.534717717,5.115242875,6.400759087,3.082013618,3.64869017,5.414548664,7.286142879,5.483918397,6.107332878,5.895269078,4.558221802,8.021044925,10.69935904,6.390409872,8.574996912,6.365979305,3.895152062,2.348431213,2.67467323,4.24507675,6.031614209,4.182783731,6.923539061,2.89226637,3.227740555,5.054182407,4.551929301,7.301958731,4.753568231,4.518302235,2.860891101,3.531715248,2.467070574
334,3.120738247,4.709103714,3.394629349,2.618272699,3.479743442,4.709103714,8.128108564,5.231060522,6.05591306,9.958442477,4.515137535,4.810522433,4.051023287,2.70069579,2.935168398,3.117960851,2.635569118,3.244699608,4.616957355,3.727692741,3.353079335,2.735450503,4.322261229,5.681530683,2.858877176,2.804603615,4.546189999,3.528494005,5.159794455,6.434428951,3.097793809,3.649860012,5.478412668,7.343049917,5.524857945,6.1852908,5.918717169,4.5431384,8.09532893,10.81004402,6.532701526,8.67951008,6.452044459,3.856995802,2.307864646,2.682449556,4.290325312,6.102367115,4.230508432,7.0309854,2.91337776,3.231940524,5.085028127,4.582543814,7.388002587,4.783860234,4.600395295,2.875330716,3.5746784,2.427709386
335,3.113614326,4.7120198,3.376069078,2.598439281,3.472382531,4.7120198,8.133499707,5.212267495,6.133195422,10.10150108,4.503857702,4.844861036,4.057775217,2.708750149,2.942245779,3.126997127,2.646104267,3.252092168,4.663127816,3.728513615,3.391002056,2.738800587,4.355574514,5.72572298,2.865496355,2.81392634,4.580726386,3.523518804,5.203642984,6.467029118,3.113296533,3.651526348,5.5414765,7.397584952,5.56399643,6.261719924,5.940473003,4.528330067,8.166572959,10.91659197,6.671897043,8.780651907,6.535908903,3.820825234,2.269507315,2.690950668,4.336397495,6.170766289,4.277056366,7.135363865,2.933977377,3.23724525,5.114732231,4.612347598,7.4705656,4.813718387,4.681695021,2.889472339,3.616758388,2.38891523
336,3.106890752,4.714044893,3.358158974,2.579369004,3.466431239,4.714044893,8.138404411,5.193519428,6.207230331,10.23644719,4.492619311,4.878843859,4.064354638,2.716734559,2.949696256,3.135804053,2.656547144,3.259442662,4.708084784,3.729256298,3.428413635,2.742025268,4.387128835,5.769150967,2.872097752,2.823024036,4.613512567,3.519655094,5.246620155,6.497682493,3.128573933,3.653557551,5.6033149,7.449426607,5.601122175,6.335914143,5.960285696,4.5138413,8.234228743,11.01789402,6.806892379,8.877658026,6.616924172,3.787046157,2.233745267,2.699885691,4.382653191,6.236196788,4.322052511,7.235672578,2.953806919,3.243342154,5.143199018,4.641062606,7.549355504,4.84289659,4.76147649,2.903061427,3.657511152,2.350497108
