ColDate,Bag,ID,Time,PH,DBH,PDIAM,Sites ,Sex,Date ,Time,TempBF,Max.BF,HL,HW,HH,Horn L,Horn W,Crest H,Dewlap H,SVL,TotL,Tail,Mass
20/01/12,2,18,1050,0,NA,NA,1,m,20/01/12,NA,23.1,11.4,20.9,11.93,11.03,11.45,5.49,5.83,12.37,7,19.8,12.8,8.8
20/01/12,18,19,1040,150,NA,6,2,m,20/01/12,NA,23.3,5.45,18.33,9.56,9.79,7.56,3.85,3.15,10.92,6.2,16.4,10.2,6.1
20/01/12,6,20,NA,NA,NA,NA,NA,m,20/01/12,NA,23.5,8,20.36,11.98,13.59,8.25,4.4,4.28,11.47,6.9,20.1,13.2,7.6
20/01/12,12,21,NA,NA,NA,NA,NA,f,20/01/12,NA,24.1,4,17.2,10.06,7.78,6.76,4.49,4.55,7.61,5.6,15.2,9.6,4.1
20/01/12,14,22,NA,NA,NA,NA,NA,m,20/01/12,NA,23.2,4.55,17.41,8.83,6.98,5.06,3.02,4.81,8.46,5.7,16.8,11.1,5.2
20/01/12,15,23,NA,NA,NA,NA,NA,f,20/01/12,NA,25.4,3.55,15.15,8.95,8.62,6.84,3.11,3.83,9.79,5.2,13.7,8.5,3.4
20/01/12,129,24,1130,88,90,4,1,f,20/01/12,NA,24.3,4.2,17.41,9.05,8.51,5.66,3.29,3.3,9.84,5.7,15.2,9.5,4.9
20/01/12,25,25,NA,NA,NA,NA,NA,m,20/01/12,NA,23.8,10.18,21.83,12.28,12.15,10.18,5.5,5.74,14.3,7.6,21.2,13.6,9.8
20/01/12,130,26,NA,NA,NA,NA,NA,m,20/01/12,NA,23.6,9.05,22.7,12.64,11.93,10.48,5.41,4.82,13.46,7.5,20.1,12.6,10.5
20/01/12,3,27,1100,128,94,96,1,m,20/01/12,NA,23.9,3.2,15.17,9.89,10.2,5.86,2.59,3.83,9.95,5.4,15.3,9.9,4.3
20/01/12,8,28,NA,NA,NA,NA,NA,f,20/01/12,NA,23.9,5.95,18.55,10.79,9.35,7.98,3.08,3.01,12.3,6.4,17.3,10.9,7
20/01/12,11,29,1354,160,58,58,4,m,20/01/12,NA,23.4,7.75,20.2,11.28,10.76,8.23,3.26,4.48,11.47,7.4,20.8,13.4,9.2
20/01/12,9,30,1355,0,NA,NA,4,f,20/01/12,NA,23.5,8.3,20.72,11.69,11.53,6.59,3.2,2.61,12.42,7.6,19.2,11.6,11
20/01/12,5,31,1123,163,38,37,1,m,20/01/12,NA,23.6,7.5,19.64,10.7,10.99,7.79,4.13,2.23,5.96,6.4,17.5,11.1,6.5
20/01/12,22,32,1345,NA,NA,NA,4,f,20/01/12,NA,23.2,8.45,19.75,11.74,11.02,9.01,4.67,3.38,11.63,7.1,19,11.9,11
21/01/12,19,33,1108,129,129,7,5,m,22/01/12,NA,23.1,7.5,21.27,12.31,11.86,9.1,3.7,5.24,15.41,6.4,18.6,12.2,9.6
21/01/12,25,34,1125,87,NA,12,5,m,22/01/12,NA,22.4,2.9,15.91,8.74,7.85,5.45,3.33,3.56,9.27,5.4,15.5,10.1,3.8
22/01/12,1,36,8.45,136,NA,4,5,f,22/01/12,NA,22.8,6.25,20.19,11.49,10.78,7.37,3.81,5.56,9.44,7.2,19.2,12,9.3
22/01/12,129,37,8.5,62,NA,NA,NA,m,22/01/12,NA,22.6,8.95,19.79,12.84,10.39,9.64,4.55,4.59,12.92,6.6,19.8,13.2,8.4
22/01/12,20,38,8.51,252,16,16,NA,m,22/01/12,NA,22.8,9.7,21.76,12.73,11.56,8.38,5.4,5.16,12.78,7.8,21.3,13.5,10.7
22/01/12,21,39,9.08,123,6,6,5,f,22/01/12,NA,22.1,8.8,20.79,12.21,11.79,8.55,4.3,3.58,14.09,7.3,20.5,13.2,10.2
22/01/12,18,40,9.16,222,NA,2,5,m,22/01/12,NA,21.5,7.3,19.47,11.5,10.04,9.35,4.22,4.2,9.69,6.4,19.8,13.4,8.4
22/01/12,15,41,9.3,177,17,2,5,m,22/01/12,NA,22.3,6,18.04,10.94,11.41,8.25,3.08,3.79,10.43,6.6,19.3,12.7,5.9
22/01/12,12,42,10.08,142,11,11,1,f,22/01/12,NA,22.4,8.05,21.55,11.82,11.58,6.6,3.14,6.68,11.39,7.1,18.8,11.7,11.6
22/01/12,3,43,10.15,118,71,2,1,m,22/01/12,NA,22,7.25,19.94,11.85,11.39,8.96,3.96,4.73,12.84,6.6,19.1,12.5,8.4
22/01/12,5,44,10.15,117,71,71,1,f,22/01/12,NA,22.7,8.2,19.16,11.54,11.58,5.97,2.9,4.47,10.72,6.8,18.8,12,10.8
22/01/12,2,45,10.24,NA,NA,NA,1,f,22/01/12,NA,22.4,8.75,23.41,13.1,13.06,7.28,3.82,5.98,11.13,8.1,22.2,14.1,14.4
22/01/12,11,46,10.26,NA,NA,NA,1,m,22/01/12,NA,22.4,9.25,20.3,10.89,10.56,8.01,3.87,4.49,13.26,7.1,18.9,11.8,8.7
22/01/12,22,47,11.47,138,18,1,3,f,22/01/12,NA,24.2,7.45,17.28,10.6,9.35,4.87,2.81,4.97,12.08,6.4,16.5,10.1,8.2
22/01/12,16,48,NA,NA,NA,NA,NA,m,22/01/12,NA,22.7,12.55,23.25,13.59,11.6,10.99,4.74,5.51,15.44,7.6,22.2,14.6,10.6
22/01/12,23,49,NA,NA,NA,NA,NA,f,22/01/12,NA,22.4,6.95,21.3,13.12,11.58,7.01,3.59,3.38,14.81,7.4,20.4,13,10.9
22/01/12,130,50,NA,NA,NA,NA,NA,m,22/01/12,NA,22.3,10.55,23.28,12.98,11.53,9.42,3.78,6.3,17.39,7.6,21.6,14,10.9
22/01/12,6,51,13.28,59,NA,2,3,f,22/01/12,NA,24.5,3.2,15.65,11.49,9.33,5.37,2.73,3.69,8.62,5.7,15.2,9.5,4.5
23/01/12,130,52,9.53,200,NA,4,2,f,23/01/12,NA,22.1,9.05,19.8,12.03,13.11,6.81,3.32,5.38,16.81,7,18.8,11.8,12.6
23/01/12,23,53,10.3,30,NA,NA,2,f,23/01/12,NA,22.1,8,17.12,9.93,9.46,14.24,1.47,2.24,10.47,6.7,18.2,11.5,9.1
23/01/12,17,54,12.32,30,NA,1,3,f,23/01/12,NA,22,5.2,19.49,10.75,10.4,7.04,3.6,4.6,13.77,6.2,17.6,11.4,5.6
23/01/12,20,55,NA,NA,NA,NA,3,m,23/01/12,NA,21.4,4,15.53,7.65,8.54,5.37,3.08,2.57,11.28,5,14,9,3.3
23/01/12,16,56,NA,NA,NA,NA,3,m,23/01/12,NA,21.9,3.5,15.27,7.76,7.37,3.8,1.19,1.5,8.9,5.2,14,8.8,4.2
23/01/12,18,57,12.3,35,NA,2,3,m,23/01/12,NA,22.4,8.4,20.6,12.5,10.83,7.93,4.37,4.84,13.96,7.4,20.2,12.8,9
23/01/12,15,58,10.15,42,NA,4.5,3,f,23/01/12,NA,22.4,10.3,20.87,10.97,10.03,4.99,3.64,2.75,11.07,7.4,20.1,12.7,13.5
23/01/12,1,59,10.17,119,NA,4,3,f,23/01/12,NA,22.4,7.55,18.06,11.45,9.73,5.06,2.31,3.91,11.49,6.6,17.8,11.2,8.2
23/01/12,6,60,10.19,147,NA,4.5,3,m,23/01/12,NA,21.5,11.05,21.37,12.35,11.05,9.52,4.7,5.01,12.6,7.3,20.7,13.4,10
23/01/12,21,61,10.3,47,20,20,3,m,23/01/12,NA,20.9,6.8,20.12,10.99,10.73,8.81,4.53,3.77,17.09,6.6,18.3,11.7,7
23/01/12,8,62,12.15,119,NA,6,3,m,23/01/12,NA,21,9.75,19.77,11.27,11.34,8.64,3.9,4.01,12.2,6.7,19.4,12.7,7.3
23/01/12,129,63,12.25,38,NA,4.5,3,f,23/01/12,NA,21.7,6.75,19.07,11.58,11.41,6.39,3.44,3.91,9.77,6.1,17,10.9,7.6
23/01/12,27,64,12.1,147,2,2,3,f,23/01/12,NA,22.2,5.3,18.27,10.66,11.24,6.12,3.57,4.25,11.87,5.8,15.8,10,6.1
