wl,F_27657_A,F_27657_S,F_27653_A,F_27653103_A,F_27653101_A,F_27653102_A,F_27656_A,F_RD20011100_A,F_RD20011_A,F_RD20011_C,F_27631_A,F_27631_S,F_27632_AWHITE,F_27632_A.YELL,F_27634_A,F_27635_K,F_27635_C,F_27635_P,F_27636_A,F_27636_X,F_27633_A,F_27638_A,F_27639_W,F_27639_P,F_27640_A,F_27641_A,F_27642_P,F_27642_Y,F_27644_S,F_27644_A,F_27643_A,F_27645_P,F_27645_R,F_27645_A,F_27648_A,F_27649_P,F_27649_W,F_27650_A,F_27651_A,F_27685_A,F_RD20014_A,F_RD20014_J,F_27658_A,F_27659_K,F_27659_P,F_27659_A,F_27661_A,F_27662_K,F_27663_A,F_27664_A,F_27665_A,F_27666_A,F_27666_I,F_27668_S,F_27669_A,F_27670_S,F_27671_A,F_27672_A,F_27673_A,F_27673_S,F_27674_Y,F_27674_E,F_27674_A,F_27680_A,F_27681_A,F_27682_K,F_27682_P,F_27683_A,F_27683_W,F_27683_Y,F_27688_Z,F_27688_A,F_27688_K,F_27688_P,F_27688_S
310,0.898692203,2.658949869,1.513760008,0,0.229162278,1.846410452,0.475255051,0,0.284850954,0.038450595,0.47945186,3.09080283,2.445207483,3.783093889,3.773195787,1.26394685,2.260322359,3.163736387,1.617170421,1.358009191,1.821901033,0.51776055,1.214207974,1.177859709,2.635754842,0.653210726,2.980467456,0,0.180664017,1.00974739,0.658866747,3.134049264,1.091537831,0.8114965,0.719534244,2.406017165,12.45921301,1.395945078,1.181433971,4.081389013,35.74611843,1.355640487,1.297535276,12.1186716,3.319083491,2.254798783,1.75533123,103.107433,1.756631889,2.157810208,2.881392939,1.898124998,0.964953407,0.078289148,2.779127839,1.324555308,3.080049335,3.521398208,1.043059355,2.556662217,3.367353722,2.275739577,2.051506263,1.887689064,40.92786763,5.527197956,5.185437418,3.432138534,2.378904279,1.203183421,1.005161732,2.220060024,18.33476674,5.606724744,3.140327658
311,0.797733282,2.630087359,1.478306323,0,0.21546934,1.808780389,0.457852855,0,0.335753741,0.037903651,0.386373717,3.079690332,2.413431829,3.756035331,3.731329743,1.245210167,2.225711279,3.148031873,1.577203617,1.358198902,1.755876748,0.533272487,1.230709579,1.184953834,2.715511389,0.672117144,2.946903619,0,0.169760006,0.965772337,0.629176237,2.95756639,1.064825826,0.791245419,0.667770903,2.374580228,12.44071031,1.390672153,1.131505041,4.085188657,36.215378,1.355255507,1.282382757,12.4070482,3.391734453,2.221723654,1.722851231,103.4250554,1.750811769,2.154447436,2.857676423,1.893591031,0.941213333,0.069968018,2.765248988,1.29581432,2.919155596,3.476631402,0.952067411,2.524935157,3.298274355,2.246603188,2.032874417,1.857941327,41.37776306,5.466272132,5.141285635,3.394048473,2.339951174,1.181759085,1.008281889,2.159375908,18.79841875,5.623661913,3.140355767
312,0.700190374,2.601796699,1.444336616,0,0.201639228,1.772553915,0.440455265,0,0.389919524,0.038855828,0.297393059,3.06839698,2.381265737,3.728362989,3.690693198,1.226259492,2.191696958,3.131927106,1.537757374,1.358277652,1.698426444,0.548607431,1.246049313,1.191415776,2.793740706,0.690074941,2.915102945,0,0.15905224,0.922983133,0.602261829,2.794452913,1.039509606,0.770553744,0.617310985,2.346114015,12.43139761,1.385123541,1.084400112,4.087538847,36.6754956,1.355516155,1.267023483,12.68646475,3.465993031,2.188690931,1.690375787,103.7427894,1.744688649,2.15097927,2.834025551,1.888567828,0.918406963,0.061764787,2.751337707,1.268164541,2.766883694,3.432811314,0.863165543,2.494506492,3.231352173,2.217601828,2.014298497,1.828624576,41.81951483,5.406660401,5.097634242,3.3576529,2.301231551,1.160571112,1.010892773,2.099403154,19.24718751,5.639549829,3.139210566
313,0.606477854,2.574058082,1.411787621,0,0.187752589,1.737683865,0.423158456,0,0.447012178,0.041302263,0.212826993,3.056933396,2.348934333,3.70031192,3.651209032,1.20710804,2.158288864,3.115496456,1.498883348,1.358239774,1.649569375,0.563702447,1.260306989,1.197384441,2.870331191,0.707100975,2.885257417,0,0.148614014,0.881410024,0.577865954,2.645118653,1.015555612,0.749572003,0.568146282,2.320666383,12.4314108,1.379296417,1.040301497,4.088540136,37.12605891,1.356518699,1.251578726,12.95721782,3.541663176,2.155819671,1.658097541,104.0607323,1.738306801,2.14740751,2.810508737,1.883078196,0.896488654,0.053634975,2.737395761,1.241523153,2.623678459,3.389927768,0.776638511,2.465284223,3.166846372,2.188820919,1.995846318,1.799777307,42.25265388,5.34842485,5.054548855,3.322989879,2.262865389,1.139644001,1.01303034,2.04059653,19.68142012,5.654479688,3.136961452
314,0.517387617,2.546839103,1.380557852,0,0.173908266,1.70409139,0.406079478,0,0.506391254,0.045250238,0.13327002,3.045317592,2.316959522,3.672392472,3.612757379,1.187814912,2.125491767,3.098869302,1.460713308,1.358108322,1.609288268,0.578518545,1.273685773,1.203147749,2.945166824,0.723253299,2.857739144,0,0.138559701,0.841153331,0.555590347,2.510195171,0.992919294,0.728636551,0.520267584,2.298327558,12.44090619,1.373219263,0.999563606,4.088399045,37.56597977,1.358453592,1.236210579,13.21967892,3.618217848,2.123317969,1.626418987,104.3790969,1.731750305,2.143741154,2.787274887,1.877181192,0.875361619,0.045542994,2.723436979,1.215750879,2.490318296,3.347955869,0.693068247,2.437105438,3.105304536,2.1603979,1.977631559,1.771442715,42.67597915,5.2916865,5.012154756,3.290112588,2.225075853,1.119003338,1.014764607,1.983851643,20.1016679,5.668628104,3.133755944
315,0.433163449,2.52013262,1.350625467,0,0.160109518,1.671755848,0.389221599,0,0.567858397,0.050709703,0.05889883,3.033553841,2.285543923,3.644789867,3.575313336,1.168414605,2.09329952,3.082079867,1.423302429,1.357906964,1.577554652,0.593083085,1.2862738,1.208806723,3.018258854,0.738562342,2.832664706,0,0.128911207,0.802262044,0.535355055,2.389807589,0.971596407,0.707873265,0.473674186,2.279123854,12.45988165,1.366915969,0.962297553,4.08718619,37.99477366,1.361381232,1.220934968,13.47386972,3.695420877,2.091240548,1.595479303,104.697961,1.725044695,2.139985679,2.764378039,1.870902702,0.854991579,0.037501665,2.709470309,1.190812813,2.367009249,3.306884379,0.612650021,2.409924346,3.046918791,2.132361432,1.959679687,1.743618203,43.08896922,5.236482054,4.97048923,3.259026888,2.18792838,1.098647765,1.016118866,1.929457309,20.50804899,5.682051461,3.129646985
316,0.354049135,2.493931493,1.321968625,0,0.146359604,1.640656599,0.372588092,0,0.631215253,0.057690606,0,3.021646415,2.254890149,3.617689325,3.538851998,1.148941613,2.061705976,3.065162375,1.386705886,1.35765937,1.554340059,0.607423428,1.298159209,1.214462385,3.089618529,0.753058536,2.810150684,0,0.119690441,0.764785154,0.517080124,2.284081025,0.951582708,0.687408024,0.428365385,2.263081584,12.48833501,1.360410425,0.92861445,4.084972186,38.41195607,1.365362019,1.205767816,13.71981188,3.773036089,2.059642133,1.565417667,105.0174027,1.718215503,2.136146561,2.741872231,1.864268613,0.835344256,0.029523813,2.695504702,1.166674047,2.253957357,3.266702059,0.5355791,2.383695155,2.991881263,2.104740177,1.942016164,1.716301174,43.49110264,5.182848214,4.929589564,3.22973864,2.151488409,1.078575922,1.017116407,1.877702343,20.90068152,5.694806139,3.124687517
317,0.280288458,2.468228582,1.294565482,0,0.132661782,1.610773003,0.356182225,0,0.696263466,0.066202898,0,3.009599587,2.225200818,3.591276071,3.503348462,1.129430433,2.030704988,3.048151049,1.350978856,1.357389207,1.539616016,0.621566934,1.309430137,1.220215758,3.159257098,0.766772313,2.790313657,0,0.11091931,0.728771649,0.500685601,2.1931406,0.932873954,0.667366705,0.384340475,2.250227061,12.52626415,1.353726522,0.898625411,4.081827648,38.81704249,1.370456352,1.190725051,13.95752707,3.850827313,2.028577447,1.536373259,105.3374998,1.711288262,2.132229278,2.719811499,1.85730481,0.816385372,0.02162226,2.681549106,1.143299672,2.151368664,3.227397672,0.462050753,2.358372073,2.940384076,2.077562795,1.924666457,1.689489029,43.88185795,5.130821681,4.889493046,3.202253703,2.115821379,1.058786454,1.017780519,1.82887556,21.27968365,5.706948521,3.118930481
318,0.212125206,2.443016743,1.268394197,0,0.119019312,1.582084419,0.340007269,0,0.762804684,0.076256526,0,2.997417628,2.196678546,3.565735325,3.468777823,1.109915559,2.00029041,3.031080112,1.316176512,1.357120145,1.533354055,0.635540964,1.32017472,1.226167865,3.227185808,0.779734103,2.773270208,0,0.102619722,0.694270521,0.486091532,2.117111434,0.915465901,0.647875188,0.341598752,2.240586596,12.57366689,1.34688815,0.872441549,4.077823193,39.20954842,1.376724631,1.175822595,14.18703695,3.928558376,1.998101214,1.508485255,105.6583303,1.704288507,2.128239308,2.698249881,1.850037182,0.798080648,0.013809828,2.667612471,1.12065478,2.059449211,3.18895998,0.392260247,2.333909308,2.892619355,2.050857949,1.907656029,1.66317917,44.26071372,5.080439159,4.850236961,3.176577939,2.080992727,1.039278,1.018134495,1.783265776,21.64517349,5.718534988,3.11242882
319,0.149803162,2.418288838,1.243432927,0,0.105435452,1.554570206,0.324066495,0,0.830640551,0.087861441,0,2.985104812,2.169525949,3.541252309,3.435115179,1.090431489,1.970456095,3.013983787,1.282354031,1.356875851,1.535525704,0.649372878,1.330481097,1.232419728,3.293415908,0.791974339,2.759136916,0,0.094813584,0.66133076,0.473217963,2.056118647,0.899354305,0.629059348,0.300139511,2.234186505,12.63054111,1.339919199,0.850173977,4.073029435,39.58898934,1.384227255,1.161076375,14.40836319,4.005993106,1.968268158,1.481892834,105.9799721,1.697241768,2.124182126,2.677241414,1.842491613,0.780395806,0.006099341,2.653703745,1.098704464,1.978405039,3.151377745,0.326402852,2.310261069,2.848779226,2.024654301,1.891010345,1.637368999,44.62714849,5.031737348,4.811858597,3.152717207,2.047067892,1.020049204,1.018201624,1.741161805,21.9972692,5.729621923,3.105235476
