wl,W_525,W_526,W_527,W_528,W_529,W_530,W_531,W_532,W_533,W_534,W_535,W_536,W_537,W_538,W_539,W_540,W_541,W_542,W_543,W_544,W_545,W_546,W_547,W_548,W_27,W_29,W_30,W_32,W_33,W_34,W_130,W_131,W_132,W_133,W_134,W_135,W_136,W_137,W_138,W_139,W_140,W_141
310,3.228298037,3.562592333,2.866525531,1.535825081,1.57767195,1.907597113,1.915282682,3.1600831,1.748159677,4.24401431,9.038054355,7.054176296,10.76868086,2.230757335,4.546668024,3.456494616,2.740682452,3.673982983,3.627454598,3.745893775,7.348310224,5.453260752,3.257019809,5.886933686,6.275823079,5.193432065,5.232691003,5.797755117,5.690931293,5.338553958,2.771059361,9.331593582,3.415172253,4.106379798,2.124263264,6.13918276,3.442723375,3.7515632,9.786599268,1.786635205,4.873646824,5.705703667
311,3.254633025,3.585762004,2.921920029,1.60517035,1.658791493,1.991651823,1.987809139,3.279342215,1.895641094,4.24221675,9.100152425,7.088756609,10.69468012,2.222256482,4.541961337,3.460758324,2.737569842,3.654192308,3.619281115,3.747271863,7.371804978,5.462797317,3.252595216,5.910862926,6.260025676,5.255861671,5.294383574,5.780216881,5.675780441,5.364775124,2.780288281,9.285127844,3.406181693,4.126243967,2.146920463,6.141297181,3.444865289,3.776111898,9.809971325,1.783049066,4.894719845,5.731391129
312,3.280763922,3.608396346,2.97636926,1.673279452,1.73845884,2.074667069,2.059893672,3.397838177,2.043020359,4.239587644,9.161161641,7.122355492,10.62110054,2.213584236,4.536466768,3.464261366,2.734054231,3.634151446,3.610483576,3.747686933,7.394314192,5.471890554,3.247805332,5.934013197,6.245062252,5.319734694,5.357576976,5.763134787,5.661018926,5.392529256,2.788695573,9.238804909,3.396842238,4.144958455,2.168232262,6.142796537,3.4460899,3.799460082,9.832567404,1.779323529,4.915127784,5.756283703
313,3.306637975,3.630451027,3.029790454,1.740057304,1.816570565,2.156520458,2.131418631,3.515383621,2.190008817,4.236188778,9.221095419,7.154986685,10.54792217,2.204780948,4.530245337,3.467052625,2.730167478,3.613899415,3.601099369,3.747173702,7.41584924,5.48055249,3.242698078,5.956419092,6.230807391,5.384866413,5.422095536,5.746556502,5.646688086,5.421627015,2.796303974,9.192642823,3.387179922,4.162559999,2.188248776,6.143762025,3.446429787,3.821632838,9.854387112,1.775482419,4.934899745,5.780415834
314,3.332163375,3.651852367,3.082053945,1.805367703,1.892978982,2.237024635,2.202192374,3.631673124,2.336126368,4.232123118,9.279975924,7.186676762,10.47511285,2.195906327,4.523399435,3.469216015,2.725962226,3.593499976,3.591195343,3.745803213,7.436438074,5.488805158,3.237351525,5.978140794,6.217049237,5.450909628,5.487607866,5.730545531,5.632843233,5.451718937,2.803162182,9.146671119,3.377238218,4.179121347,2.20706652,6.14431902,3.445950802,3.842683146,9.875436969,1.771562889,4.954086434,5.803847598
315,3.357315496,3.672582217,3.133132171,1.869188969,1.967660951,2.316142607,2.272170469,3.746635748,2.481256638,4.227414893,9.337807696,7.217433644,10.40266468,2.186970237,4.515953591,3.470772747,2.721450486,3.572967496,3.58078961,3.743599446,7.456091654,5.496654476,3.231782914,5.999193743,6.203734331,5.517758503,5.55401229,5.715108716,5.619490495,5.482701407,2.809287326,9.100896456,3.367027366,4.194666021,2.224715503,6.14449157,3.444674696,3.862629321,9.895721745,1.767572185,4.972700903,5.826594488
316,3.382069712,3.692622429,3.182997572,1.931499422,2.040593333,2.393837383,2.341308484,3.860200558,2.625283252,4.222088332,9.394595277,7.247265253,10.33056973,2.177982541,4.507932337,3.471744031,2.71664427,3.552316346,3.56990028,3.740586384,7.474820942,5.504106361,3.226009489,6.019593381,6.190809212,5.5853072,5.621207131,5.700252897,5.606636002,5.51447081,2.814696538,9.055325492,3.356557608,4.209217544,2.241225732,6.144303719,3.44262322,3.88148968,9.915246206,1.763517552,4.990756201,5.848671999
317,3.406401398,3.711954854,3.231622586,1.99227738,2.111752987,2.47007197,2.409561988,3.972296617,2.768089836,4.216167666,9.450343208,7.276179511,10.2588201,2.168953101,4.499360201,3.472151075,2.71155559,3.531560893,3.558545466,3.736788008,7.492636901,5.511166733,3.220048492,6.039355148,6.178220419,5.653449884,5.689090713,5.685984915,5.594285882,5.546923531,2.819406949,9.009964883,3.345839184,4.222799438,2.256627214,6.143779515,3.439818127,3.89928254,9.93401512,1.759406238,5.008265379,5.870095624
318,3.430285927,3.730561344,3.278979652,2.051501162,2.181116774,2.544809378,2.476886548,4.082852987,2.909560014,4.209677122,9.505056032,7.304184339,10.18740787,2.159891779,4.490261714,3.47201509,2.706196459,3.510715506,3.546743278,3.7322283,7.509550491,5.517841509,3.213917166,6.058494483,6.165914492,5.722080716,5.757561359,5.672311611,5.582446264,5.579955955,2.82343569,8.964821289,3.334882334,4.235435224,2.270949957,6.142943003,3.436281166,3.916026218,9.952033256,1.755245488,5.025241488,5.890880858
319,3.453698674,3.748423751,3.325041209,2.109149089,2.248661554,2.618012613,2.543237734,4.191798732,3.049577412,4.202640932,9.55873829,7.331287659,10.11632514,2.150808439,4.480661406,3.471357283,2.700578888,3.489794554,3.534511829,3.726931241,7.525572675,5.524136607,3.207632752,6.077026829,6.153837969,5.791093861,5.826517394,5.659239828,5.571123277,5.613464466,2.826799891,8.919901366,3.323697299,4.247148427,2.28422397,6.14181823,3.43203409,3.931739029,9.969305382,1.751042547,5.041697578,5.911043194
320,3.476615013,3.765523925,3.369779694,2.16519948,2.314364187,2.689644685,2.608571113,4.299062915,3.188025655,4.195083323,9.611394524,7.357497393,10.04556398,2.141712944,4.470583808,3.470198866,2.694714891,3.468812405,3.521869229,3.720920814,7.540714415,5.530057946,3.201212495,6.094967625,6.141937391,5.860383481,5.895857141,5.646776404,5.560323048,5.64734545,2.829516684,8.875211773,3.31229432,4.257962568,2.296479259,6.140429243,3.427098651,3.946439291,9.985836265,1.746804661,5.057646699,5.930598127
321,3.499010319,3.781843718,3.413167548,2.219630653,2.378201534,2.759668602,2.672842253,4.4045746,3.324788369,4.187028527,9.663029274,7.382821462,9.975116493,2.132615155,4.460053449,3.468561046,2.688616478,3.447783428,3.50883359,3.714221,7.554986672,5.535611444,3.194673637,6.112332312,6.130159297,5.929843739,5.965478923,5.634928183,5.550051708,5.681495292,2.8316032,8.830759167,3.300683638,4.267901169,2.307745832,6.138800087,3.421496599,3.960145321,10.00163067,1.742539077,5.073101902,5.949561149
322,3.520859964,3.797364982,3.455177209,2.272420929,2.440150454,2.828047371,2.736006724,4.508262849,3.459749178,4.178500772,9.713647083,7.407267788,9.904974758,2.123524936,4.44909486,3.466465035,2.682295661,3.426721992,3.495423024,3.706855781,7.568400407,5.540803019,3.188033419,6.12913633,6.118450225,5.999368799,6.035281065,5.623702004,5.540315384,5.715810376,2.83307657,8.786550207,3.288875492,4.276987754,2.318053698,6.136954809,3.415249687,3.972875434,10.01669337,1.73825304,5.088076236,5.967947756
323,3.542139325,3.812069568,3.495781115,2.323548626,2.500187808,2.894744001,2.798020093,4.610056727,3.59279171,4.169524287,9.763252492,7.430844294,9.835130865,2.114452149,4.437732571,3.46393204,2.675764454,3.405642465,3.481655641,3.698849138,7.580966583,5.545638589,3.181309085,6.14539512,6.106756716,6.068852823,6.105161889,5.613104709,5.531120204,5.750187088,2.833953925,8.742591549,3.276880124,4.285245844,2.327432863,6.134917455,3.408379665,3.984647947,10.03102914,1.733953796,5.102582754,5.985773441
324,3.562823774,3.825939328,3.534951706,2.372992065,2.558290456,2.9597215,2.858837928,4.709885295,3.723799587,4.160123303,9.811850044,7.453558899,9.765576901,2.105406657,4.425991111,3.460983272,2.669034868,3.384559216,3.467549554,3.690225053,7.592696162,5.550124073,3.174517877,6.161124123,6.095025308,6.138189975,6.17501972,5.603143139,5.522472299,5.784521813,2.834252396,8.698889852,3.264707773,4.292698962,2.335913335,6.132712071,3.400908285,3.995481178,10.04464273,1.729648591,5.116634504,6.003053698
325,3.582888686,3.838956113,3.572661419,2.420729564,2.614435258,3.022942876,2.918415797,4.807677619,3.852656437,4.150322049,9.859444278,7.475419527,9.696304955,2.096398323,4.413895012,3.457639939,2.662118916,3.363486613,3.453122874,3.681007508,7.603600105,5.554265388,3.167677038,6.176338778,6.083202542,6.207274417,6.244752881,5.593824135,5.514377796,5.818710935,2.833989114,8.655451774,3.252368682,4.29937063,2.343525122,6.130362703,3.392857298,4.005393442,10.05753892,1.725344671,5.130244538,6.019804021
326,3.602560087,3.851263439,3.609150262,2.466960604,2.668840906,3.084779296,2.977206529,4.904154258,3.980584421,4.1397669,9.90588768,7.496276483,9.627316597,2.087239712,4.401095227,3.453614424,2.654821165,3.342214359,3.438118703,3.670914245,7.613492888,5.557943359,3.160518386,6.190807325,6.071803199,6.277130199,6.315338478,5.585047316,5.506749041,5.853759286,2.832934993,8.612175932,3.239703393,4.304974707,2.349909645,6.127472665,3.383954754,4.014130935,10.06959863,1.720914761,5.143217756,6.035793401
