"","ID","Sex","HL","HW","HH","Horn.L","Horn.W","Crest.H","Dewlap.H","SVL","TotL","Tail","Mass","condition","LSVL","LHorn.L","LCrest.H","LDewlap.H","LHW","LHH","LHL"
"16",16,"m",16.91,9.6,10.37,8.65,4.48,4.42,11.78,5.8,16.5,10.7,5.2,-0.0180050195224741,1.75785791755237,2.15755932094379,1.48613969608961,2.46640317822344,2.26176309847379,2.33891702224144,2.82790516291049
"17",17,"f",17.18,8.92,9.75,5.39,3.84,4.47,8.2,5.6,15.5,9.9,3.9,-0.204657994861459,1.7227665977411,1.68454538492091,1.49738840862548,2.10413415427021,2.18829594659192,2.27726728500976,2.84374591655611
"18",18,"m",20.9,11.93,11.03,11.45,5.49,5.83,12.37,7,19.8,12.8,8.8,-0.0333206611986453,1.94591014905531,2.43798973000025,1.7630170003624,2.5152741864044,2.47905623610982,2.40061883326541,3.03974915897077
"19",19,"m",18.33,9.56,9.79,7.56,3.85,3.15,10.92,6.2,16.4,10.2,6.1,-0.0503815977315075,1.82454929205105,2.02287119019144,1.14740245283754,2.39059597031676,2.25758772706331,2.28136145654242,2.90853906185161
"20",20,"m",20.36,11.98,13.59,8.25,4.4,4.28,11.47,6.9,20.1,13.2,7.6,-0.138498473397842,1.93152141160321,2.11021320034659,1.45395300959371,2.43973493114128,2.4832385926873,2.60933422816305,3.01357219168232
"21",21,"f",17.2,10.06,7.78,6.76,4.49,4.55,7.61,5.6,15.2,9.6,4.1,-0.154647574286798,1.7227665977411,1.91102289005487,1.51512723296286,2.02946317187359,2.30856716467159,2.0515563381903,2.84490938381941
"22",22,"m",17.41,8.83,6.98,5.06,3.02,4.81,8.46,5.7,16.8,11.1,5.2,0.032066396225014,1.7404661748405,1.62136648329937,1.57069708411767,2.13534917361813,2.17815501461587,1.94304891677428,2.8570447537801
"23",23,"f",15.15,8.95,8.62,6.84,3.11,3.83,9.79,5.2,13.7,8.5,3.4,-0.128499756971593,1.64865862558738,1.92278773163446,1.34286480319255,2.28136145654242,2.19165353228676,2.1540850846756,2.71800053195538
"24",24,"f",17.41,9.05,8.51,5.66,3.29,3.3,9.84,5.7,15.2,9.5,4.9,-0.0273570242457866,1.7404661748405,1.73342389221509,1.19392246847243,2.28645571106416,2.20276475771183,2.14124194258528,2.8570447537801
"25",25,"m",21.83,12.28,12.15,10.18,5.5,5.74,14.3,7.6,21.2,13.6,9.8,-0.162456264500336,2.02814824729229,2.32042501112238,1.74745921033147,2.66025953726586,2.507971922719,2.49732916978656,3.08328517056185
"26",26,"m",22.7,12.64,11.93,10.48,5.41,4.82,13.46,7.5,20.1,12.6,10.5,-0.0553299370246752,2.01490302054226,2.3494686788929,1.57277392806251,2.59972232421658,2.53686638871871,2.47905623610982,3.12236492448736
"27",27,"m",15.17,9.89,10.2,5.86,2.59,3.83,9.95,5.4,15.3,9.9,4.3,-0.00231584716678025,1.68639895357023,1.76814960358892,1.34286480319255,2.2975725511705,2.29152414563462,2.32238772029023,2.71931979336044
"28",28,"f",18.55,10.79,9.35,7.98,3.08,3.01,12.3,6.4,17.3,10.9,7,-0.00416579657584374,1.85629799036563,2.07693841146172,1.10194007876078,2.50959926237837,2.37861977927004,2.2353763433006,2.92046978905344
"29",29,"m",20.2,11.28,10.76,8.23,3.26,4.48,11.47,7.4,20.8,13.4,9.2,-0.148856380405568,2.00148000021012,2.10778601468898,1.49962304642689,2.43973493114128,2.42303124606991,2.37583555473364,3.00568260440716
"30",30,"f",20.72,11.69,11.53,6.59,3.2,2.61,12.42,7.6,19.2,11.6,11,-0.0469433773784922,2.02814824729229,1.88555334851442,0.959350221334602,2.51930807650533,2.45873377548398,2.44495233428097,3.03109941739128
"31",31,"m",19.64,10.7,10.99,7.79,4.13,2.23,5.96,6.4,17.5,11.1,6.5,-0.0782737687295656,1.85629799036563,2.05284085988266,0.802001585472027,1.78507048107726,2.37024374146786,2.39698576841553,2.97756830292632
"32",32,"f",19.75,11.74,11.02,9.01,4.67,3.38,11.63,7.1,19,11.9,11,0.1489848460118,1.96009478404727,2.19833507162025,1.21787570949493,2.45358796653057,2.46300181439995,2.39971180372477,2.98315349134713
"33",33,"m",21.27,12.31,11.86,9.1,3.7,5.24,15.41,6.4,18.6,12.2,9.6,0.311687152842634,1.85629799036563,2.2082744135228,1.65632149833295,2.73501664933202,2.51041194019636,2.47317139356958,3.05729762921215
"34",34,"m",15.91,8.74,7.85,5.45,3.33,3.56,9.27,5.4,15.5,10.1,3.8,-0.125929803133957,1.68639895357023,1.69561560867515,1.26976054486394,2.22678337957776,2.16791018966744,2.06051353179432,2.7669478423497
"35",36,"f",20.19,11.49,10.78,7.37,3.81,5.56,9.44,7.2,19.2,12,9.3,-0.0591628905215826,1.97408102602201,1.99741770620125,1.71559810826249,2.24495598015741,2.44147709186066,2.37769256548085,3.00518743232475
"36",37,"m",19.79,12.84,10.39,9.64,4.55,4.59,12.92,6.6,19.8,13.2,8.4,0.0895631137036647,1.88706964903238,2.26592110862245,1.52388002407245,2.55877649835446,2.55256529826182,2.34084380511114,2.98517675961447
"37",38,"m",21.76,12.73,11.56,8.38,5.4,5.16,12.78,7.8,21.3,13.5,10.7,-0.149379212989981,2.05412373369555,2.12584791449399,1.64093657949347,2.54788144894939,2.54396141256932,2.44755086324423,3.08007342198774
