wl,F001,F003,F006,F008,F009,F013,F017,F021,F023,F024,F028,F030,F032,F036,F039,F042,F044,F045,F047,F049,F052,F053,F054,F058,F059,F063,F064,M004,M005,M010,M011,M012,M014,M015,M016,M018,M019,M020,M022,M025,M026,M029,M031,M033,M034,M037,M038,M040,M041,M043,M046,M048,M050,M055,M056,M057,M060,M061,M062
310,3.445520853,4.019341612,4.102614651,5.397711058,3.998628942,4.019341612,5.843046378,5.989844998,4.602670303,4.995391022,4.373877144,4.208022527,4.351914556,2.919781981,3.37836625,3.718082649,3.316816767,3.69813154,3.666146608,4.735939002,3.585155033,3.710731746,3.249620728,3.207900618,3.224683129,3.411400791,3.65943484,3.161109868,3.977263901,4.855847108,2.734832424,3.008685891,3.940516389,3.785638575,4.682484156,3.800675255,6.239562186,5.056822453,6.4194516,4.439829335,4.693939665,3.760263459,4.409474437,3.243902287,3.879098749,4.193909373,4.262402645,3.718478752,3.818660844,4.030057252,3.121110475,3.305835233,4.195520802,4.874508047,3.681125437,3.763636759,3.434365618,3.794825627,2.890189122
311,3.450529216,4.044517305,4.099104062,5.361018152,3.989574013,4.044517305,5.9122756,6.027639782,4.814406286,5.103983511,4.395645375,4.231517345,4.357958658,2.92175994,3.392347773,3.722256105,3.332500217,3.702163271,3.725663486,4.73828884,3.598469572,3.707422793,3.276121653,3.19103684,3.212296534,3.423875539,3.683421369,3.139460619,4.063525596,4.833731299,2.766891859,3.0331268,3.973101594,3.915293989,4.881362401,3.813080342,6.50896531,5.079384446,6.525004289,4.568065471,4.770493702,3.778028818,4.513689088,3.203386515,3.956238872,4.161693727,4.219870238,3.763645646,3.890132773,4.111943844,3.141671492,3.267110448,4.232872899,5.014810501,3.796889304,3.898337216,3.45270267,3.804601766,2.905629463
312,3.455675482,4.068692429,4.096190314,5.32472112,3.980857144,4.068692429,5.978488228,6.06324079,5.025894488,5.209891339,4.416339444,4.253459487,4.363720484,2.923324702,3.406106012,3.726185445,3.348077752,3.706499425,3.78629324,4.740663986,3.611523479,3.70363972,3.301304018,3.174962417,3.200451447,3.436788104,3.706747679,3.12022493,4.149652294,4.81440215,2.798579207,3.058288576,4.005518912,4.043852464,5.080377259,3.825209776,6.776958136,5.101342405,6.628789676,4.696141994,4.848297472,3.795851795,4.618157121,3.163595174,4.03665871,4.131274745,4.178905592,3.808970476,3.962300059,4.194784624,3.162601844,3.23084178,4.269388528,5.155449224,3.912441681,4.034319816,3.471881448,3.814577801,2.920937822
313,3.460957378,4.091908599,4.093890024,5.288840869,3.972481166,4.091908599,6.041624954,6.096625586,5.237084719,5.313068904,4.435880864,4.273808838,4.369179531,2.924472598,3.419607938,3.72986123,3.363539667,3.711132285,3.848025304,4.743055087,3.624308492,3.699385514,3.325134541,3.159680666,3.189155654,3.450135393,3.729400724,3.103435621,4.235643483,4.797915813,2.829900054,3.084166913,4.037752784,4.171260781,5.279516778,3.837056836,7.043408074,5.122662937,6.730730417,4.823993909,4.927340764,3.813733387,4.722762335,3.124515134,4.120436147,4.102687134,4.139544056,3.854433207,4.035103307,4.278546725,3.183907885,3.197069684,4.305029447,5.296347684,4.027739407,4.171553943,3.491917322,3.824745956,2.93610474
314,3.466358012,4.114211572,4.092182494,5.253385458,3.964437066,4.114211572,6.101699317,6.127833565,5.447620277,5.413438085,4.454215801,4.292610943,4.374308417,2.92523223,3.432816312,3.733277874,3.378866759,3.716042496,3.910705008,4.745451073,3.636815467,3.694680938,3.347617148,3.145154399,3.178402746,3.463867185,3.751367995,3.089007397,4.321427198,4.784178175,2.860873371,3.110659629,4.069770799,4.297329151,5.478441729,3.848625113,7.307824674,5.143322709,6.830682989,4.951405437,5.007466421,3.831681846,4.827261133,3.086181199,4.20733704,4.075890484,4.101761226,3.899962633,4.108382371,4.363062127,3.205553913,3.165726761,4.339746099,5.437210706,4.142598516,4.309757277,3.512779962,3.835066356,2.951112093
315,3.471864107,4.135602014,4.091030679,5.218340296,3.956712103,4.135602014,6.158784445,6.156923155,5.657221154,5.510972936,4.471376131,4.309948905,4.379103271,2.925633742,3.445730685,3.73643984,3.394051267,3.721219671,3.974199859,4.747850906,3.649044983,3.689542698,3.368789728,3.131345611,3.16817842,3.477940069,3.772651467,3.076826612,4.406937541,4.773043153,2.891511943,3.137675576,4.10155897,4.421936582,5.676849979,3.859924833,7.56988975,5.16333413,6.928593192,5.078242783,5.088538791,3.849703494,4.931547555,3.048637489,4.297063103,4.050811287,4.065497564,3.94551354,4.182049017,4.448209072,3.2275002,3.136709025,4.373531787,5.577843417,4.256893465,4.448699512,3.534425329,3.845510282,2.965952643
316,3.477462388,4.156080589,4.090397536,5.183690795,3.949293537,4.156080589,6.212953465,6.183952785,5.865607339,5.60564751,4.487393728,4.325905827,4.383560219,2.925707279,3.458350611,3.73935159,3.409085433,3.726653425,4.038377365,4.750253551,3.66099762,3.683987499,3.388690169,3.118216297,3.158468372,3.492310637,3.793253113,3.06677962,4.492108614,4.764364668,2.921828557,3.165123608,4.133103311,4.544962083,5.874439393,3.870966226,7.829285116,5.18270961,7.024406828,5.204372149,5.170422222,3.867804655,5.03551564,3.011928123,4.389316048,4.027376035,4.030693535,3.991040718,4.256015011,4.5338658,3.249707021,3.109912493,4.406379817,5.718050944,4.370498708,4.588150344,3.556809386,3.856049013,2.980619152
317,3.483139576,4.175647964,4.090246022,5.149422366,3.942168628,4.175647964,6.264279504,6.208980883,6.072498826,5.697435858,4.50230047,4.340564813,4.387675388,2.925482987,3.470675639,3.742017588,3.423961495,3.732333373,4.103105032,4.752657972,3.672673957,3.678032047,3.407356361,3.105728451,3.1492583,3.506935477,3.813174908,3.058752773,4.57687452,4.757996637,2.951836,3.192912579,4.164389835,4.666284662,6.070907838,3.88175952,8.085692587,5.201461557,7.118069699,5.329659739,5.252981062,3.88599165,5.139059428,2.976097219,4.483797591,4.00551122,3.997289599,4.036498954,4.33019212,4.619910549,3.272134651,3.085233179,4.438283494,5.857638415,4.4832887,4.727879471,3.579888094,3.86665383,2.995104382
318,3.488882396,4.194304803,4.090539093,5.115520419,3.935324635,4.194304803,6.31283569,6.232065878,6.277615603,5.786312034,4.51612823,4.354008966,4.391444904,2.92499101,3.482705324,3.744442296,3.438671695,3.738249128,4.168250369,4.755063132,3.684074573,3.671693048,3.424826192,3.093844069,3.140533901,3.52177118,3.832418824,3.052632425,4.66116936,4.75379298,2.981547059,3.220951343,4.195404557,4.785783328,6.26595318,3.892314942,8.338793977,5.219602383,7.209527607,5.453971758,5.336079659,3.904270801,5.242072955,2.941188898,4.580209443,3.985143336,3.965226221,4.081843036,4.40449211,4.706221562,3.294743363,3.062567098,4.469236121,5.996410957,4.595137896,4.867656589,3.603617416,3.877296013,3.009401094
319,3.49467757,4.212051771,4.091239706,5.081970365,3.928748819,4.212051771,6.35869515,6.253266198,6.480677662,5.87225009,4.528908885,4.36632139,4.394864895,2.924261495,3.494439215,3.746630177,3.453208273,3.744390306,4.233680881,4.757467996,3.695200048,3.664987209,3.441137553,3.082525145,3.132280872,3.536774335,3.850986838,3.04830493,4.744927237,4.751607616,3.010974519,3.249148753,4.226133488,4.903337089,6.459273284,3.902642722,8.5882711,5.237144497,7.298726353,5.577174408,5.419582361,3.92264843,5.344450263,2.907247277,4.678253319,3.966198873,3.934443863,4.127027751,4.478826746,4.792677077,3.317493432,3.041810267,4.499231003,6.134173697,4.705920751,5.007251392,3.627953314,3.887946841,3.02350205
320,3.500511823,4.228889534,4.092310818,5.048757614,3.922428439,4.228889534,6.401931013,6.272640272,6.681404995,5.95522408,4.54067431,4.377585188,4.397931487,2.923324584,3.505876865,3.748585694,3.467563469,3.750746521,4.299264078,4.759871528,3.706050961,3.657931235,3.456328331,3.071733674,3.124484909,3.551901531,3.868880921,3.045656641,4.828082254,4.751294464,3.040131168,3.277413662,4.256562644,5.018824954,6.650566018,3.912753086,8.833805771,5.254100307,7.38561174,5.699133894,5.503353515,3.94113086,5.446085389,2.874316476,4.777630933,3.948604325,3.904882988,4.172007888,4.553107796,4.879155335,3.340345131,3.022858699,4.528261445,6.270731762,4.81551172,5.146433579,3.65285175,3.898577595,3.037400012
321,3.506371877,4.244818757,4.093715385,5.015867577,3.916350755,4.244818757,6.442616404,6.290246527,6.879517591,6.035208055,4.55145638,4.387883463,4.400640807,2.922210425,3.517017826,3.75031331,3.481729523,3.757307387,4.364867466,4.762272691,3.716627891,3.650541832,3.470436417,3.061431651,3.117131711,3.567109359,3.886103049,3.044573911,4.910568512,4.752707442,3.069029791,3.305654925,4.286678038,5.132125931,6.839529246,3.922656263,9.075079804,5.270482224,7.470129568,5.819716418,5.587257469,3.959724413,5.546872373,2.842440614,4.878043997,3.932286184,3.876484059,4.216738235,4.627247024,4.965534576,3.363258736,3.005608411,4.556320751,6.40589028,4.923785259,5.284972844,3.678268686,3.909159555,3.051087742
322,3.512244456,4.259840105,4.095416364,4.983285665,3.910503026,4.259840105,6.480824453,6.306143393,7.074735443,6.112176068,4.561286971,4.397299318,4.402988982,2.920949162,3.52786165,3.751817487,3.495698675,3.764062518,4.430358552,4.764670449,3.726931417,3.642835706,3.483499698,3.051581071,3.110206974,3.582354408,3.902655195,3.044943095,4.992320114,4.755700469,3.097683177,3.333781395,4.316465682,5.243119028,7.025860835,3.932362482,9.311775013,5.286302657,7.55222564,5.938788186,5.671158572,3.97843541,5.646705253,2.811663811,4.979194226,3.917170941,3.849187538,4.261173579,4.701156198,5.051693039,3.386194519,2.989955417,4.583402227,6.539454377,5.030615822,5.422638883,3.704160083,3.919664001,3.064558002
